facility_key,date_key,time_key,aqi_category_key,energy_mwh,intervals_count,shortwave_radiation,direct_radiation,diffuse_radiation,direct_normal_irradiance,irr_kwh_m2_hour,sunshine_hours,temperature_2m,dew_point_2m,humidity_2m,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,precipitation,wind_speed_10m,wind_direction_10m,wind_gusts_10m,pressure_msl,pm2_5,pm10,dust,nitrogen_dioxide,ozone,sulphur_dioxide,carbon_monoxide,uv_index,uv_index_clear_sky,aqi_value,is_valid,quality_flag,completeness_pct,yr_weighted_kwh,created_at,updated_at
5,20260125,7,1,0.000000,1,129.0000,74.0000,55.0000,390.0000,0.129000,1.000,26.0,2.0,21.02570901375888,10,0,5,6,0.0,9.7,342,18.7,1006.6,0.9,1.0,0.0,1.4,64.0,0.5,90.0,0.9,0.9,4,true,GOOD,100.00,20944.440000,2026-03-11T04:54:12.097Z,2026-03-11T04:54:12.097Z
6,20260125,7,1,0.038800,1,114.0000,72.0000,42.0000,432.1000,0.114000,1.000,29.3,-0.4,14.583776088483908,0,0,0,0,0.0,18.5,352,31.3,1005.3,0.9,1.4,1.0,0.9,57.0,0.3,86.0,0.75,0.75,4,true,GOOD,100.00,4332.000000,2026-03-11T04:54:12.097Z,2026-03-11T04:54:12.097Z
4,20260125,7,1,0.000000,1,124.0000,84.0000,40.0000,472.0000,0.124000,1.000,23.0,20.4,85.30730242097168,0,0,0,0,0.0,4.7,40,11.9,1011.5,7.0,8.2,0.0,0.9,41.0,0.3,99.0,0.85,0.85,29,true,GOOD,100.00,10912.000000,2026-03-11T04:54:12.097Z,2026-03-11T04:54:12.097Z
2,20260125,7,1,1.004800,1,156.0000,100.0000,56.0000,467.9000,0.156000,1.000,22.3,12.3,53.13975510278824,0,0,0,0,0.0,12.7,75,22.7,1007.9,2.4,2.5,0.0,2.7,63.0,1.1,98.0,1.05,1.05,10,true,GOOD,100.00,18876.000000,2026-03-11T04:54:12.097Z,2026-03-11T04:54:12.097Z
3,20260125,7,1,0.377200,1,136.0000,84.0000,52.0000,437.1000,0.136000,1.000,25.2,2.5,22.847193334233783,0,0,0,0,0.0,11.3,22,18.7,1006.8,1.6,1.6,0.0,2.2,65.0,0.5,94.0,0.9,0.9,7,true,GOOD,100.00,44064.000000,2026-03-11T04:54:12.097Z,2026-03-11T04:54:12.097Z
7,20260125,7,1,0.137500,1,155.0000,91.0000,64.0000,366.7000,0.155000,1.000,19.8,17.1,84.43822201761685,14,0,14,0,0.0,6.9,30,13.7,1013.7,8.6,9.3,0.0,1.3,50.0,0.4,111.0,1.35,1.4,36,true,GOOD,100.00,3410.000000,2026-03-11T04:54:12.097Z,2026-03-11T04:54:12.097Z
1,20260125,7,1,0.965800,1,143.0000,89.0000,54.0000,440.8000,0.143000,1.000,23.6,1.2,22.915117404994437,1,0,0,1,0.0,13.0,46,22.7,1007.1,0.6,0.6,0.0,1.5,67.0,1.0,89.0,1.0,1.0,3,true,GOOD,100.00,36336.300000,2026-03-11T04:54:12.097Z,2026-03-11T04:54:12.097Z
8,20260125,7,1,0.026700,1,98.0000,60.0000,38.0000,382.8000,0.098000,1.000,29.1,2.2,17.78997040092295,73,0,0,73,0.0,13.5,335,22.3,1005.5,0.8,1.5,1.0,0.6,51.0,0.4,87.0,0.65,0.65,3,true,GOOD,100.00,9212.000000,2026-03-11T04:54:12.097Z,2026-03-11T04:54:12.097Z
6,20260125,19,1,16.338200,1,162.0000,111.0000,51.0000,523.1000,0.162000,1.000,39.4,6.1,13.171308660451118,16,0,2,15,0.0,15.5,268,43.9,1003.9,1.7,3.9,4.0,0.6,78.0,0.5,94.0,0.1,0.1,7,true,GOOD,100.00,6156.000000,2026-03-11T04:54:12.097Z,2026-03-11T04:54:12.097Z
5,20260125,0,1,0.000000,1,0.0000,0.0000,0.0000,0.0000,0.000000,0.000,26.1,1.7,20.458571234098965,0,0,0,0,0.0,14.7,20,24.5,1005.0,0.6,0.8,0.0,2.4,57.0,0.3,84.0,0.0,0.0,3,true,GOOD,100.00,0.000000,2026-03-11T04:54:12.097Z,2026-03-11T04:54:12.097Z
4,20260125,0,1,0.000000,1,0.0000,0.0000,0.0000,0.0000,0.000000,0.000,24.9,19.1,70.20689974152135,0,0,0,0,0.0,11.4,19,26.6,1011.3,7.2,7.6,0.0,1.0,59.0,1.3,97.0,0.0,0.0,30,true,GOOD,100.00,0.000000,2026-03-11T04:54:12.097Z,2026-03-11T04:54:12.097Z
6,20260125,0,1,0.000000,1,0.0000,0.0000,0.0000,0.0000,0.000000,0.000,30.4,1.9,16.157884156179946,1,0,1,0,0.0,15.2,24,28.4,1004.2,0.9,1.6,1.0,1.2,56.0,0.4,83.0,0.0,0.0,4,true,GOOD,100.00,0.000000,2026-03-11T04:54:12.097Z,2026-03-11T04:54:12.097Z
2,20260125,0,1,0.000000,1,0.0000,0.0000,0.0000,0.0000,0.000000,0.000,25.0,1.6,21.683765041739797,0,0,0,0,0.0,0.8,27,4.0,1007.0,2.0,2.1,0.0,7.4,43.0,0.9,103.0,0.0,0.0,8,true,GOOD,100.00,0.000000,2026-03-11T04:54:12.097Z,2026-03-11T04:54:12.097Z
7,20260125,19,1,2.840000,1,52.0000,33.0000,19.0000,258.8000,0.052000,0.854,24.3,16.5,61.7830601103839,1,0,1,0,0.0,4.0,90,6.8,1008.9,3.5,4.2,2.0,2.2,70.0,0.4,116.0,0.0,0.0,15,true,GOOD,100.00,1144.000000,2026-03-11T04:54:12.097Z,2026-03-11T04:54:12.097Z
4,20260125,19,1,43.491500,1,54.0000,32.0000,22.0000,231.8000,0.054000,0.898,30.2,17.7,47.162917470936314,12,0,9,4,0.0,12.6,54,26.3,1008.8,4.9,5.7,0.0,0.8,60.0,0.4,105.0,0.0,0.0,20,true,GOOD,100.00,4752.000000,2026-03-11T04:54:12.097Z,2026-03-11T04:54:12.097Z
5,20260125,19,1,0.000000,1,124.0000,61.0000,63.0000,320.7000,0.124000,1.000,36.3,11.6,22.594676973615385,75,0,0,75,0.0,21.6,196,46.8,1003.8,1.3,2.1,1.0,0.8,84.0,0.5,96.0,0.05,0.05,5,true,GOOD,100.00,20132.640000,2026-03-11T04:54:12.097Z,2026-03-11T04:54:12.097Z
8,20260125,0,1,0.000000,1,0.0000,0.0000,0.0000,0.0000,0.000000,0.000,31.9,1.8,14.728706783175992,25,0,19,9,0.0,8.7,330,16.6,1003.7,0.3,0.4,0.0,0.6,59.0,0.4,91.0,0.0,0.0,1,true,GOOD,100.00,0.000000,2026-03-11T04:54:12.097Z,2026-03-11T04:54:12.097Z
1,20260125,0,1,0.000000,1,0.0000,0.0000,0.0000,0.0000,0.000000,0.000,23.8,0.7,21.84076555956031,0,0,0,0,0.0,4.1,41,5.0,1006.5,1.2,1.2,0.0,3.9,58.0,0.5,90.0,0.0,0.0,5,true,GOOD,100.00,0.000000,2026-03-11T04:54:12.097Z,2026-03-11T04:54:12.097Z
3,20260125,19,1,100.003500,1,104.0000,52.0000,52.0000,292.1000,0.104000,1.000,38.2,4.8,12.840030307051247,5,0,5,1,0.0,11.5,261,33.1,1003.5,0.9,1.5,1.0,1.2,68.0,0.3,95.0,0.05,0.05,4,true,GOOD,100.00,33696.000000,2026-03-11T04:54:12.097Z,2026-03-11T04:54:12.097Z
